business_name,address,phone_number,email,city,state,zip_code_postcode,website,description,latitude,longitude,ticker_symbol,kindex_score,is_black_owned,business_location,category,hero_image,owner_name,is_premium,tier_level,is_ecommerce,is_veteran,subscription_tier,marketing_generations_used,is_priority_pinned,is_claimed,kindex_velocity,ar_asset_url,is_ar_enabled,has_flash_beacon,loi_signed,marketing_tier,doordash_url,ubereats_url,grubhub_url,is_delivery_eligible,firestore_location,search_keywords,is_farmer,is_wholesale,is_retail,is_verified,review_count,interaction_count,total_sentiment_score
Golden Corral Buffet & Grill,"4610 Trans Mountain Rd, El Paso, TX 79924",9155006054,,El Paso,Texas,79924,https://www.goldencorral.com/locations/916/golden-corral-transmountain-road?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=916,"Family-friendly buffet chain featuring all-you-can-eat American fare, plus salad & dessert bars.",31.8971948,-106.4365688,GOLD,500,FALSE,"31.8971948, -106.4365688",Buffet restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.8971948, -106.4365688",,FALSE,FALSE,FALSE,FALSE,0,0,0
EZ TAX DBA Los Taxes,"5858 Gtwy Blvd E #8, El Paso, TX 79905",9152048245,,El Paso,Texas,79905,,,31.7795818,-106.4169621,EZTA,500,FALSE,"31.7795818, -106.4169621",Tax preparation service,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7795818, -106.4169621",,FALSE,FALSE,FALSE,FALSE,0,0,0
Dave & Buster's El Paso,"6101 Gateway Blvd W #2006, El Paso, TX 79925",9153045400,,El Paso,Texas,79925,https://www.daveandbusters.com/us/en/about/locations/el-paso,Family-friendly chain offering a sports-bar-style setting for American food & arcade games.,31.7839188,-106.4118076,DAVE,500,FALSE,"31.7839188, -106.4118076",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7839188, -106.4118076",,FALSE,FALSE,FALSE,FALSE,0,0,0
J&I Barber and Beauty Salon,"6259 Airport Rd, El Paso, TX 79925",9157719214,,El Paso,Texas,79925,,,31.788905,-106.408295,J&IB,500,FALSE,"31.788905, -106.408295",Beauty salon,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.788905, -106.408295",,FALSE,FALSE,FALSE,FALSE,0,0,0
Johnny Carino's,"1201 Airway Blvd, El Paso, TX 79925",9157787771,,El Paso,Texas,79925,http://www.carinos.com/,Classic Italian chain restaurant serving familiar & modern fare in a family-friendly setting.,31.7813797,-106.3932669,JOHN,500,FALSE,"31.7813797, -106.3932669",Restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7813797, -106.3932669",,FALSE,FALSE,FALSE,FALSE,0,0,0
Kona Grill - El Paso,"8889 Gateway Blvd W #1740, El Paso, TX 79925",9152493803,,El Paso,Texas,79925,"https://konagrill.com/locations?locations=El-Paso,79925","Sleek chain with a broad New American menu including low-calorie options, plus sushi & cocktails.",31.7699659,-106.3724955,KONA,500,FALSE,"31.7699659, -106.3724955",American restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7699659, -106.3724955",,FALSE,FALSE,FALSE,FALSE,0,0,0
Grimaldi's Pizzeria,"8889 Gateway Blvd W Ste 1200, El Paso, TX 79925",9155944929,,El Paso,Texas,79925,https://www.grimaldispizzeria.com/locations/el-paso/,"Casual, Brooklyn-based pizzeria chain serving brick-oven pies & calzones, plus wine & beer.",31.769032,-106.3706399,GRIM,500,FALSE,"31.769032, -106.3706399",Pizza restaurant,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.769032, -106.3706399",,FALSE,FALSE,FALSE,FALSE,0,0,0
Black El Paso Voice News & Information,"9434 Viscount Blvd #170F, El Paso, TX 79925",9153451661,,El Paso,Texas,79925,https://blackelpasovoice.com/,,31.7675667,-106.3650517,BLAC,500,FALSE,"31.7675667, -106.3650517",Consultant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.7675667, -106.3650517",,FALSE,FALSE,FALSE,FALSE,0,0,0
Top F African Store & Fashions,"9828 Montana Ave, El Paso, TX 79925",9155910769,,El Paso,Texas,79925,https://www.topfafricanstore.com/,,31.7940992,-106.352617,TOPF,500,FALSE,"31.7940992, -106.352617",African goods store,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7940992, -106.352617",,FALSE,FALSE,FALSE,FALSE,0,0,0
Thirty 5ive Tavern & Grill,"10420 Montwood Dr, El Paso, TX 79935",9152620730,,El Paso,Texas,79935,https://www.thirty5ivetavernandgrill.com/,,31.7718338,-106.3387346,THIR,500,FALSE,"31.7718338, -106.3387346",Steak house,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.7718338, -106.3387346",,FALSE,FALSE,FALSE,FALSE,0,0,0
Speaking Rock Entertainment Center,"122 S Old Pueblo Rd, El Paso, TX 79907",9158607777,,El Paso,Texas,79907,http://www.speakingrock.com/,"Big casual complex offering concerts & a casino, plus a video game room, a restaurant & a bar.",31.690126,-106.326605,SPEA,500,FALSE,"31.690126, -106.326605",Casino,,,FALSE,,,,Free,,,,0,,,,,,,,,,"31.690126, -106.326605",,FALSE,FALSE,FALSE,FALSE,0,0,0
Anointed Cuisine: A Taste Of Africa,"3140 Lee Trevino Dr, El Paso, TX 79936",9153074834,,El Paso,Texas,79936,https://anointedcuisineinc.com/,,31.7854025,-106.3226805,ANOI,500,FALSE,"31.7854025, -106.3226805",West African restaurant,,,FALSE,,FALSE,FALSE,Free,3,FALSE,FALSE,0,,FALSE,FALSE,FALSE,basic,,,,FALSE,"31.7854025, -106.3226805",,FALSE,FALSE,FALSE,FALSE,0,0,0
